bench,site,stores,pct_of_bench,buffers,mean_alloc_size,mean_trailing_z
cam4,__dyn_comp_MOD_dyn_init,98796960,5.311799570061004,15,3608777.7164628548,1.9906756847579117
cam4,__tp_core_MOD_fyppm,92482560,4.97230706740512,4014,113356.8,5.229480877259453
cam4,__mapz_module_MOD_ppm2m,66368160,3.5682713694200707,75528,7488.0,8.714912813614239
cam4,__alloc_mod_MOD_alloc_check_1d_double,61980768,3.3323840815997867,44,2859611.9483111924,10.585507540016284
cam4,__mapz_module_MOD_map1_ppm,56445661,3.0347901173437846,20520,24702.00996969457,8.95503913046567
cam4,__tp_core_MOD_ytp,46865088,2.5196924509546763,1986,110592.0,12.38758821918781
cam4,__m_attrvect_MOD_init_,28256256,1.5191921742565122,71,2733986.818003914,41.40333092961785
cam4,__mapz_module_MOD_mapn_ppm_tracer,27489130,1.47794779227368,3456,26265.933185371818,9.737965515823891
deepsjeng,alloc_hash(),223975970,100.0,1,720000000.0,0.0
exchange2,MAIN__,11732,93.2739704245508,10,4365.64064098193,14.737470167064439
exchange2,???,814,6.471617109238353,1,8192.0,0.0
exchange2,register_printf_specifier,32,0.25441246621084435,1,4096.0,29.875
fotonik,MAIN__,234812611,61.98334041171638,7,63889813.12431169,51.900269210838935
fotonik,__material_mod_MOD_mat_init,81216000,21.43853753612048,6,27072000.0,2.439668698286052
fotonik,__upml_mod_MOD_upml_init,35099308,9.265142731110297,54,1985517.4089189451,49.96269590272264
fotonik,__power_mod_MOD_power_init,25939928,6.847346829593463,8,25842146.16170099,51.91103155721943
fotonik,__readline_mod_MOD_readline,1643394,0.43380570276343555,2712,4176.0,21.30213996156734
fotonik,__plane_source_mod_MOD_plane_source_init,87845,0.02318839058634387,3,78085.55555808527,10.001024531845864
fotonik,__power_mod_MOD_power_print,31071,0.008201792747547275,3,6138.050786907405,5.2859257828843615
fotonik,???,1622,0.00042815834175023915,1,8192.0,0.0
fotonik,register_printf_specifier,32,8.447020305800033e-06,1,4096.0,30.625
gcc,ggc_alloc_stat,250318,92.40406799682533,28,63815.27954042458,1.5004714003787183
gcc,pool_alloc,10226,3.774894331752155,48,20502.269509094465,9.754938392333267
gcc,_cpp_get_buff,3902,1.4404104911497075,2,8032.0,0.0
gcc,_cpp_init_tokenrun,3065,1.1314346887170306,1,6000.0,0.0
gcc,ht_create,1617,0.5969102419756732,1,131072.0,3.0
gcc,dump_register,1043,0.38502002620941694,2,8040.805369127517,18.917545541706616
gcc,_IO_file_doallocate,369,0.13621513870687904,1,4096.0,0.0
gcc,set_page_table_entry,291,0.10742169475257941,1,32768.0,5.986254295532646
gcc,htab_create_alloc,39,0.014396721977149819,9,8168.0,5.9743589743589745
gcc,cse_main,20,0.007382934347256317,2,5640.0,0.0
gcc,validate_change_1,5,0.0018457335868140793,1,6000.0,3.8
imagick,AcquireAlignedMemory,2259012,71.3348482303115,6,1182902.5737605644,7.525413764955653e-06
imagick,_IO_file_doallocate,864018,27.283871399646074,1,4096.0,0.0
imagick,AcquireMagickMemory,43742,1.381280370042428,24,13769.910200722417,0.565886333500983
lbm,LBM_allocateGrid,556200048,99.99989554129037,2,214400000.0,3.3689027711123103
lbm,_IO_file_doallocate,581,0.00010445870962867969,1,4096.0,0.0
leela,"GameState::play_move(int, int)",33699358,46.266688331421875,135,4010635.298934775,0.0
leela,"UCTSearch::dump_stats(GameState&, UCTNode&)",19921440,27.350641385901806,77,2025951.6666666667,0.0
leela,UCTSearch::dump_analysis(),14229600,19.536172418501287,55,2025951.6666666667,0.0
leela,"std::vector<unsigned char, std::allocator<unsigned char> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned long, unsigned char const&)",2359296,3.239136268221202,2,1048576.0,0.0
leela,UCTNode::sort_children(int),937140,1.2866228580054462,369,6144.0,23.360597135966877
leela,"std::vector<TTEntry, std::allocator<TTEntry> >::_M_fill_insert(__gnu_cxx::__normal_iterator<TTEntry*, std::vector<TTEntry, std::allocator<TTEntry> > >, unsigned long, TTEntry const&)",874297,1.2003441373600396,1,3200000.0,14.35307681485811
leela,"std::vector<SGFTree, std::allocator<SGFTree> >::reserve(unsigned long)",515226,0.7073666139944021,234,8512.0,0.0
leela,"std::vector<KoState, std::allocator<KoState> >::operator=(std::vector<KoState, std::allocator<KoState> > const&)",253330,0.34780306957180324,1,1983400.0,0.0
leela,_IO_file_doallocate,19469,0.02672947523583246,1,4096.0,0.0
leela,"SGFParser::parse(std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >&, SGFTree*)",15210,0.020882188008475615,234,8512.0,22.384615384615383
leela,main,11749,0.01613049486598159,3,8512.0,18.389335917295742
leela,GameState::anchor_game_history(),1078,0.0014800130620076734,1,8440.0,0.0
leela,???,2,2.7458498367489304e-06,1,72704.0,31.0
mcf,primal_net_simplex,306998904,54.06267426139478,10,136352.0,11.965958487591212
mcf,resize_prob,178745945,31.47725830343742,4,185475756.34304968,5.754934093749651
mcf,price_out_impl,69117977,12.171713408324013,10,26279561.135043405,3.9878258300297187
mcf,read_min,12992557,2.2879963666372065,4,2161379.4575555837,5.1913963510031165
mcf,_IO_file_doallocate,2031,0.0003576602065813655,2,4096.0,0.0
nab,get,1252,34.86494012809802,2,5208.0,0.9361022364217252
nab,copyresidue,1080,30.075187969924812,1,4224.0,15.33611111111111
nab,_IO_file_doallocate,626,17.43247006404901,1,4096.0,0.0
nab,set_belly_mask,626,17.43247006404901,2,5952.0,0.9361022364217252
nab,fgetpdb,7,0.1949317738791423,1,1280000.0,7.0
namd,"Patch::readfile(_IO_FILE*, Molecule*)",485405320,40.5949233719423,576,15409.64612135689,1.5539084573691941
namd,ComputeNonbondedUtil::calc_self_energy(nonbonded*),470765101,39.3705474865411,1585,23167.062214611782,1.315233261099361
namd,ComputeNonbondedUtil::calc_self_energy_fullelect(nonbonded*),169815360,14.201825242827573,2,22698.15143294458,1.6924804681979297
namd,ComputeNonbondedUtil::calc_pair_energy(nonbonded*),49631472,4.150728720230549,8786,61248.79722007842,0.9830895795246801
namd,"ComputeList::readfile(_IO_FILE*, PatchList*)",12368608,1.0343988277211147,2,78550.84955720158,1.0280664566295574
namd,ResultSet::ResultSet(int),7193472,0.6015971242717582,14,2213376.0,27.757772046655635
namd,Molecule::readfile(_IO_FILE*),462427,0.03867322391546339,4,1250718.9366645978,1.0654243804968135
namd,"ComputeNonbondedUtil::select(SimParameters*, Molecule*, LJTable*)",54973,0.004597445949965658,1,375400.0,15.447637931348117
namd,LJTable::readfile(_IO_FILE*),27888,0.002332300814084046,1,220479.0,11.617613310384394
namd,_IO_file_doallocate,2624,0.0002194476956453147,2,4096.0,0.0
namd,"PatchList::readfile(_IO_FILE*, Molecule*)",1873,0.00015664082848463204,1,8072.0,22.37586759209824
namd,???,2,1.6726196314429477e-07,1,72704.0,31.0
omnetpp,cMessageHeap::insert(cMessage*),58946026,64.52171659521112,7,262034.75804499525,5.994042499149985
omnetpp,_IO_file_doallocate,18105382,19.817965781985652,2,4096.0,0.0
omnetpp,cSimulation::registerModule(cModule*),13611647,14.899169455936786,905,157232.32420588046,6.204001470211503
omnetpp,"cIndexedFileOutputVectorManager::registerVector(char const*, char const*)",243254,0.2662633380688205,9,674112.2825688375,6.002655660338577
omnetpp,__uniquename_29(),160569,0.17575718356274694,2,5024.0,1.7520442924848507
omnetpp,"cExpressionBuilder::process(ExpressionElement*, bool)",144665,0.15834882798114697,144,24008.0,51.826592472263506
omnetpp,ned2yyparse(),73661,0.08062857648995449,14,14400.0,0.0
omnetpp,"ned2yy_scan_bytes(char const*, int)",39584,0.043328241155813234,2,7247.021119644301,0.0
omnetpp,NEDFileBuffer::readFile(char const*),16888,0.018485431907825735,2,7283.333135954524,0.0
omnetpp,NEDFileBuffer::stripComment(char const*),6941,0.007597547540988774,1,4749.0,0.0
omnetpp,NEDParser::guessIsNEDInNewSyntax(char const*),6177,0.006761280962496421,2,7413.793103448276,0.0
omnetpp,cModule::ChannelIterator::init(cModule const*),2276,0.0024912862992782668,4,6349.15992970123,6.092267135325132
omnetpp,InifileReader::internalReadFile(char const*),690,0.0007552669360729368,1,6144.0,0.0
omnetpp,"addComment(NEDElement*, char const*, char const*, char const*)",596,0.0006523754984050294,1,4749.0,0.0
omnetpp,opendir,70,7.662128336971823e-05,1,32816.0,8.17142857142857
parest,"dealii::TableBase<2, double>::TableBase(dealii::TableIndices<2> const&)",11277696,53.75412217004539,3,8192.0,17.214500373125855
parest,"dealii::Vector<double>::reinit(unsigned int, bool)",5518114,26.301593348875326,23,42004.19941740965,7.61325300637138
parest,"dealii::SparsityPattern::reinit(unsigned int, unsigned int, dealii::VectorSlice<std::vector<unsigned int, std::allocator<unsigned int> > const> const&, bool)",1718633,8.191709392368052,4,2178898.6440036935,0.36083445389446145
parest,dealii::SparseMatrix<double>::reinit(dealii::SparsityPattern const&),1318372,6.283901388507642,2,3504034.2924758717,38.74836389122342
parest,void METomography::Slave::internal::SparseDirectSPEC::solve<double>(dealii::Vector<double>&) const,671726,3.2017214747405776,9,25712.0,9.514715821629652
parest,"dealii::CompressedSetSparsityPattern::reinit(unsigned int, unsigned int)",265528,1.2656152951425372,2,150407.31089753247,5.26987361031605
parest,"dealii::FESystem<3, 3>::initialize()",48660,0.23193350705626475,11,33126.38224414303,51.989519112207155
parest,"std::vector<unsigned int, std::allocator<unsigned int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned long, unsigned int const&)",40616,0.19359250560208074,4,24622.046090210755,11.445514083119953
parest,"void dealii::SolverGMRES<dealii::Vector<double> >::solve<dealii::SparseMatrix<double>, dealii::SparseILU<double> >(dealii::SparseMatrix<double> const&, dealii::Vector<double>&, dealii::Vector<double> const&, dealii::SparseILU<double> const&)",29366,0.13997039392137836,15,6668.447592453858,37.20298985221004
parest,"dealii::SparsityTools::reorder_Cuthill_McKee(dealii::SparsityPattern const&, std::vector<unsigned int, std::allocator<unsigned int> >&, std::vector<unsigned int, std::allocator<unsigned int> > const&)",15360,0.07321205648138567,3,54067.2,1.1274739583333333
parest,"dealii::Vector<double>::Vector<dealii::internal::BlockVectorIterators::Iterator<dealii::BlockVectorBase<dealii::Vector<double> >, true> >(dealii::internal::BlockVectorIterators::Iterator<dealii::BlockVectorBase<dealii::Vector<double> >, true>, dealii::internal::BlockVectorIterators::Iterator<dealii::BlockVectorBase<dealii::Vector<double> >, true>)",14008,0.06676787025984704,1,112064.0,18.078383780696743
parest,"dealii::SparsityPattern::copy_from(dealii::CompressedSetSparsityPattern const&, bool)",12856,0.06127696602374311,2,12856.0,12.341630367143747
parest,"dealii::internal::Triangulation::TriaObjects<dealii::internal::Triangulation::TriaObject<1> >::reserve_space(unsigned int, unsigned int)",9449,0.045037807401862834,1,40984.0,52.0
parest,"std::vector<dealii::Tensor<1, 3>, std::allocator<dealii::Tensor<1, 3> > >::_M_fill_insert(__gnu_cxx::__normal_iterator<dealii::Tensor<1, 3>*, std::vector<dealii::Tensor<1, 3>, std::allocator<dealii::Tensor<1, 3> > > >, unsigned long, dealii::Tensor<1, 3> const&)",9216,0.0439272338888314,1,36864.0,35.083333333333336
parest,"dealii::Quadrature<3>::Quadrature(std::vector<dealii::Point<3>, std::allocator<dealii::Point<3> > > const&, std::vector<double, std::allocator<double> > const&)",5904,0.028140884210032618,5,19359.219512195123,38.91056910569106
perlbench,Perl_savestack_grow,10616745,56.7136631608266,1,5440.0,4.572482149660749
perlbench,Perl_new_stackinfo,4588526,24.51147860937557,2,8096.0,0.0
perlbench,Perl_sv_grow,3306103,17.66089436234913,68812,6163.435038170317,0.0008060849888826816
perlbench,Perl_Slab_Alloc,98676,0.5271180033105933,37,12771.794235680409,0.0
perlbench,Perl_yyparse,68803,0.3675392190783854,3,4800.0,3.0676278650640234
perlbench,PerlIOBuf_get_base,34806,0.1859304108722335,2,8192.0,0.0
perlbench,S_hsplit,3015,0.016105849243802334,2,7349.160862354892,27.533996683250415
perlbench,S_invlist_trim,2491,0.01330669003857765,2,10009.0,1.8619028502609394
perlbench,Perl_hv_ksplit,742,0.003963694905108236,2,4096.0,6.47843665768194
pop2,__m_attrvect_MOD_sort_,199166074,19.194061189327122,114,4768635.222330848,0.9995215851872443
pop2,__m_attrvect_MOD_init_,197839622,19.066228168665653,658,7189340.47404757,29.44131208459345
pop2,__m_mergesorts_MOD_isort_,185393564,17.866774898236102,77,4778889.510341449,0.9999490273567425
pop2,__tavg_MOD_init_tavg,125147147,12.060698636795522,128,231382609.1306322,22.938460112079103
pop2,__diag_bsf_MOD_init_diag_bsf,60976544,5.876440164451389,2705,48915.12203564702,0.869839163072279
pop2,__hmix_gm_submeso_share_MOD_init_meso_mixing,33174144,3.197063320330094,10,37062290.175226584,51.924268068529514
pop2,__shr_mct_mod_MOD_shr_mct_smatreaddnc,32817845,3.1627260224643137,44,1972280.5344977404,0.1603331358289979
pop2,__hmix_gm_MOD_init_gm,29119615,2.8063196753059856,28,31671363.305460185,46.70329164722816
pop2,__m_permuter_MOD_permutei_,19975640,1.925095217049719,170,4279251.972539353,7.377375042802133
pop2,__shr_map_mod_MOD_shr_map_mapset_global,19809540,1.909087804243323,187,616845.4989569671,33.97221934482073
pop2,__m_globaltolocal_MOD_globalsegmaptolocalmatrix_,13407270,1.2920873299025306,64,4713790.728977935,0.6632846955420455
pop2,__mix_submeso_MOD_init_submeso,12154760,1.171380258173818,9,47605927.98712471,51.88814086004166
pop2,__shr_ncread_mod_MOD_shr_ncread_field4dg,11141568,1.07373677475336,32,1372204.8073894088,49.936273242689
pop2,__passive_tracers_MOD_init_passive_tracers,10401751,1.0024390256853914,6,35986203.666077375,51.99011469984532
pop2,__vmix_kpp_MOD_init_vmix_kpp,9124334,0.8793316130128562,13,23814088.18681298,35.1575528690642
povray,pov::open_istack(),24310864,62.94876654838623,4,12824.0,15.879407535659777
povray,pov::Create_Priority_Queue(unsigned int),12071380,31.256745195763447,3,4120.0,10.861081583050156
povray,"POVMSUtil_TempAlloc(void**, int)",1209249,3.1311405880049965,9,8192.0,0.0
povray,pov::NewComTexData(),856444,2.2176132208944157,5,5640.0,16.65398321431407
povray,pov::Create_BMap_Entries(int),124086,0.32129917907989836,112,8216.0,23.304651612591268
povray,pov::POVFPU_AddFunction(pov::FunctionCode*),18438,0.047742003641628915,122,77965.28951079292,49.08422822431934
povray,_IO_file_doallocate,10442,0.027037748238740056,2,4096.0,0.0
povray,pov::Initialize_Radiosity_Code(),9608,0.02487824986380142,1,38424.0,1.6922356369691924
povray,"POVMS_Send(void*, POVMSData*, POVMSData*, int)",5447,0.014104061928406155,1,5447.0,0.0
povray,pov::Initialize_Tokenizer(),1696,0.004391497894359618,1,14424.0,39.372051886792455
povray,"pov_base::ProcessOptions::Parse_INI_String(pov_base::ITextStream*, int, bool)",1211,0.003135674498861732,136,65536.0,10.262592898431048
povray,pov::Initialize_Noise(),1004,0.002599683895010057,1,8024.0,1.3266932270916334
povray,pov::POVFPU_RemoveFunction(unsigned int),144,0.0003728630287663827,123,147676.83333333334,45.423611111111114
povray,pov_frontend::MessageOutput::MessageOutput(void*),43,0.00011134104331218372,1,8192.0,0.0
povray,pov::POVFPU_NewContext(),22,5.696518495041958e-05,2,8216.0,14.863636363636363
roms,__step2d_mod_MOD_step2d_tile,385821440,21.45825045048754,45400,40736.0,7.165264340934501
roms,__mod_ocean_MOD_allocate_ocean,276487824,15.377437225630384,15,22307958.656054698,11.023813008850617
roms,__step3d_uv_mod_MOD_step3d_uv_tile,159298560,8.85971603050887,280,33100.726255905895,3.3015568000112494
roms,__step3d_t_mod_MOD_step3d_t,144517120,8.03761593794052,320,76848.41607028981,15.07613452994358
roms,__pre_step3d_mod_MOD_pre_step3d,115927040,6.447520019373955,240,88209.66345729175,30.735739565160983
roms,__lmd_skpp_mod_MOD_lmd_skpp,81432576,4.52903967865643,1008,127836.68749056889,6.704647535649615
roms,__t3dmix_mod_MOD_t3dmix2,81305920,4.521995445528646,320,71429.12768762717,22.251858585451096
roms,__rhs3d_mod_MOD_rhs3d,80582320,4.4817509479030795,520,39797.447785568846,21.496150991929742
roms,__mod_mixing_MOD_allocate_mixing,74844420,4.162625874760819,12,14234882.01092175,15.767068366619716
roms,__rho_eos_mod_MOD_rho_eos_tile,71672832,3.986231505309082,728,32160.0,1.9881222636772606
roms,__mod_grid_MOD_allocate_grid,70346245,3.912450649350531,50,8060248.918122637,10.083178640167645
roms,__mod_coupling_MOD_allocate_coupling,70098959,3.8986973314403097,9,277648.0,3.7654664457998583
roms,__prsgrd_mod_MOD_prsgrd,65656800,3.651637550721832,280,128919.01114888328,28.185245062202238
roms,__lmd_vmix_mod_MOD_lmd_vmix,49025592,2.7266588181813285,240,182428.3849372385,7.952511883997239
roms,__wvelocity_mod_MOD_wvelocity,24019968,1.335919769406014,96,620907.5001918403,24.937851499219317
wrf,__module_alloc_space_0_MOD_alloc_space_field_core_0,1252482587,27.871131183894764,419,904245.1943596721,5.233535115007551
wrf,solve_em_,1008543007,22.442814570400646,1417,1073813.3025593346,11.329030619117663
wrf,__module_mp_wsm5_MOD_wsm52d,318356216,7.084288397651262,66120,12078.013248555511,10.558720006271214
wrf,__module_bl_ysu_MOD_ysu2d,270401126,6.017157710008831,48600,10983.221510490308,8.055023783443861
wrf,__module_alloc_space_2_MOD_alloc_space_field_core_2,184123883,4.09725528358271,217,649746.0906570171,8.801932164335248
wrf,__module_em_MOD_rk_update_scalar,156467700,3.4818302769284655,450,505568.0,16.54607207110477
wrf,__module_small_step_em_MOD_advance_uv,144045300,3.205398218221677,420,8288.0,4.5065361868800995
wrf,__module_advect_em_MOD_advect_scalar,135312450,3.01106864391417,1170,11103.543548875214,11.493010473167843
wrf,__module_advect_em_MOD_advect_scalar_pd,119557447,2.660477138712145,900,551936.0,13.370379303934117
wrf,__module_alloc_space_1_MOD_alloc_space_field_core_1,117949467,2.6246952268626362,446,683833.0227580596,16.973253647682867
wrf,__module_small_step_em_MOD_advance_w,92546370,2.0594074884837203,420,8288.0,1.3815831782489145
wrf,__module_ra_rrtm_MOD_rrtm,81761460,1.8194140190842945,17520,20719.730004821344,4.614446794369866
wrf,__module_diffusion_em_MOD_cal_deform_and_div,81328920,1.8097888321097135,120,564259.3599383836,1.2004259739339955
wrf,__module_mp_wsm5_MOD_wsm5,72621814,1.6160321315560178,90,14142.54330766235,14.73397798903784
wrf,__module_ra_rrtm_MOD_rtrn,49056000,1.0916289180770395,8760,22400.0,6.812604553979126
x264,x264_encoder_open_96,2026976147,75.19388296654951,3,39053.89041396796,0.0
x264,x264_frame_new,571714647,21.20865818791511,2145,2710418.9523543324,0.3084596149136982
x264,x264_macroblock_cache_allocate,87845725,3.2587759725431504,16,911212.1444844243,0.11729674950033141
x264,_IO_file_doallocate,7328824,0.2718743064411795,6,4096.0,0.0
x264,x264_analyse_init_costs,950388,0.035256144553344394,29,65565.0,0.0
x264,x264_picture_alloc,718850,0.02666687659374026,1,1382427.0,0.0
x264,x264_frame_pop_blank_unused,111722,0.0041445041202001105,1,15659.0,22.263242691681135
x264,x264_cqm_init,19976,0.0007410412837679007,4,8901.444533440128,0.5478073688426112
xalancbmk,xercesc_2_7::MemoryManagerImpl::allocate(unsigned long),701335,95.2904699339807,83,140780.89147982062,15.595373109854776
xalancbmk,_IO_file_doallocate,34660,4.709258325781219,1,4096.0,0.0
xalancbmk,???,2,0.00027174023807162255,1,72704.0,31.0
xz,lzma_alloc,1419937493,96.47037847931676,132,9138864.702972665,0.7666948012619313
xz,spec_mem_init,30516678,2.073299346699791,24,267386880.0,18.52578452002753
xz,sha_process,21427200,1.4557613302996404,36,7031811.083010753,2.4065871415770608
xz,_IO_file_doallocate,8255,0.0005608436838048616,12,4096.0,0.0
