bench,alloc_type,total_stores,distinct_values,top1_frac,top8_frac,top64_frac,top256_frac,top1024_frac
mcf,object,2031,59,0.3845396356474643,0.6504185130477598,1.0,1.0,1.0
nab,32bits,2958,244,0.22853279242731575,0.3384043272481406,0.6977687626774848,1.0,1.0
nab,64bits,7,7,0.14285714285714285,1.0,1.0,1.0,1.0
nab,object,626,47,0.31150159744408945,0.5910543130990416,1.0,1.0,1.0
namd,32bits,12829728,234395,0.007188305161262966,0.017264668432565366,0.02879039992118305,0.05456522538903397,0.13405373831775702
namd,64bits,1103192824,349017363,0.006082974665904825,0.010395558011715276,0.010401101013688248,0.010408385325029997,0.010425273578465554
namd,object,79706568,1234003,0.011032089601449155,0.0343312736787262,0.0921694934851542,0.2798970343322272,0.7499553612696007
omnetpp,32bits,70,34,0.3,0.6285714285714286,1.0,1.0,1.0
omnetpp,64bits,73108439,625808,0.002783126035559315,0.004047494434944781,0.010081531080153415,0.025493677959667557,0.07582833221209935
omnetpp,object,18249919,6606,0.08620377986335172,0.47298900340324795,0.9973626732261113,0.9985462949178021,0.9992924352157398
parest,32bits,1784670,15156,0.6215490819030969,0.6403962637350322,0.6469481752929113,0.6673950926501818,0.7232435128062891
parest,64bits,19195481,4374541,0.25837867777316964,0.27602366411136037,0.3376181612745208,0.43122602658406944,0.5696153693674048
perlbench,32bits,10686177,5049,0.12146729368229629,0.5639737204427738,0.9940936782162602,0.9979359316245651,0.9989504197806194
perlbench,64bits,6894,1953,0.1875543951261967,0.24354511169132578,0.29460400348128807,0.3781549173194082,0.7123585726718886
perlbench,object,8026836,11053,0.19179661824410016,0.5426986424040556,0.9797267565950021,0.995301012752721,0.996809701855127
pop2,32bits,646558086,2102295,0.23879594632430287,0.28687901368230667,0.29595267021376326,0.3031349406091876,0.3160393759270068
pop2,64bits,318795464,9440686,0.5604929058840059,0.7130144392518709,0.7408498541246497,0.7535731060464524,0.7889634307971207
pop2,object,72290709,47231,0.3953792595947565,0.6433212599976021,0.76204541028917,0.9849687184559222,0.998718742681027
povray,32bits,976390,77202,0.4703683978738004,0.8261760157314187,0.9188213726072574,0.9208052110324768,0.9219799465377564
povray,64bits,36417306,4827329,0.11344674974035696,0.30016256556704113,0.48556483008380685,0.5502957302772479,0.5627574153892657
povray,object,1226384,483,0.9812236624091638,0.987242984252893,0.9965687745436992,0.9997504859815523,1.0
roms,32bits,951206,3934,0.4586325149336737,0.9795754021736617,0.9886249666213207,0.9928206928888169,0.9961606634104495
roms,64bits,1797046454,362018293,0.1734711277530503,0.19045216624099578,0.20510505345010965,0.2150791050168367,0.2353330394206938
roms,object,12112,817,0.20219616908850727,0.4147126816380449,0.8535336856010568,0.9458388375165125,1.0
wrf,32bits,4446681119,764686572,0.3101946202317729,0.3335869056726035,0.3454879472772916,0.34897377110526284,0.3537662888122201
wrf,64bits,1368723,793015,0.3150834756192451,0.3524241208776356,0.386598310980381,0.40818339430257256,0.41179478974197115
wrf,object,45784939,893835,0.385783696249983,0.47383863501488993,0.6566780617530145,0.9553250469548512,0.975877176553626
x264,32bits,42378420,15543995,0.1339422045465593,0.18746208565585976,0.26261585495636697,0.31329620122694524,0.3746349439172107
x264,object,2653287859,39546099,0.11581449029650875,0.20168914209017982,0.5594044396522451,0.8663602232990884,0.9180027352622051
xalancbmk,64bits,447619,12376,0.43421972704465184,0.7525440162280869,0.7990143403206745,0.8117506182713423,0.8576222188959808
xalancbmk,object,288378,23293,0.12390334907655924,0.31407388913162587,0.631740285319962,0.7286478164076317,0.7508270395106423
xz,32bits,230562997,8126462,0.16810810713047766,0.16828833119305783,0.1686729419118368,0.1695525670149057,0.17251857200659132
xz,64bits,50610078,827400,0.19191600534581274,0.20698008013344693,0.23649680998318162,0.2842939107898628,0.3520525299328723
xz,object,1190716551,99561395,0.0935360618834633,0.25648360875097975,0.4039074300227813,0.4966059861210412,0.6648609329694284
